,strp_timestamp,Response type,BIS RP,DEFRA RP,DVLA F2D RENEW,DVLA F2D REPORT,DVLA VDL,DWP UCDS,HMRC CC,HMRC FF,HMRC PTA,HMRC SA,HMRC TE,HMRC YSP
74,2016-11-30,NEW,105.0,29.0,19.0,16.0,132.0,221.0,14.0,6.0,133.0,617.0,32.0,183.0
75,2016-11-30,RETURNING,66.0,88.0,5.0,3.0,49.0,143.0,23.0,5.0,272.0,2245.0,49.0,102.0
76,2016-12-01,NEW,118.0,38.0,26.0,18.0,116.0,209.0,8.0,4.0,169.0,561.0,30.0,136.0
77,2016-12-01,RETURNING,80.0,129.0,6.0,4.0,45.0,154.0,19.0,4.0,295.0,2281.0,33.0,86.0
78,2016-12-02,NEW,120.0,19.0,32.0,23.0,86.0,165.0,6.0,1.0,131.0,464.0,20.0,105.0
79,2016-12-02,RETURNING,72.0,94.0,12.0,6.0,37.0,111.0,16.0,0.0,283.0,1974.0,27.0,97.0
80,2016-12-03,NEW,46.0,7.0,21.0,10.0,70.0,58.0,3.0,4.0,67.0,363.0,7.0,75.0
81,2016-12-03,RETURNING,15.0,34.0,5.0,2.0,30.0,34.0,14.0,2.0,177.0,1616.0,17.0,60.0
82,2016-12-04,NEW,46.0,4.0,14.0,11.0,75.0,80.0,2.0,7.0,69.0,427.0,11.0,93.0
83,2016-12-04,RETURNING,33.0,24.0,6.0,1.0,20.0,41.0,7.0,4.0,160.0,1940.0,12.0,70.0
84,2016-12-05,NEW,93.0,22.0,23.0,24.0,116.0,259.0,13.0,9.0,170.0,684.0,20.0,136.0
85,2016-12-05,RETURNING,52.0,111.0,7.0,6.0,51.0,152.0,17.0,7.0,335.0,3174.0,36.0,104.0
86,2016-12-06,NEW,105.0,21.0,19.0,22.0,132.0,228.0,6.0,5.0,124.0,741.0,24.0,173.0
87,2016-12-06,RETURNING,59.0,81.0,4.0,4.0,59.0,116.0,32.0,3.0,295.0,3000.0,36.0,109.0
88,2016-12-07,NEW,64.0,16.0,21.0,18.0,115.0,166.0,5.0,1.0,147.0,680.0,21.0,136.0
89,2016-12-07,RETURNING,43.0,126.0,7.0,7.0,38.0,110.0,15.0,2.0,325.0,2818.0,25.0,81.0
90,2016-12-08,NEW,104.0,16.0,28.0,22.0,120.0,212.0,8.0,3.0,121.0,564.0,11.0,113.0
91,2016-12-08,RETURNING,48.0,121.0,10.0,8.0,59.0,123.0,17.0,1.0,266.0,2613.0,27.0,85.0
92,2016-12-09,NEW,93.0,17.0,23.0,13.0,124.0,167.0,6.0,5.0,119.0,497.0,16.0,112.0
93,2016-12-09,RETURNING,47.0,85.0,10.0,9.0,42.0,74.0,16.0,1.0,222.0,1755.0,16.0,82.0
94,2016-12-10,NEW,72.0,4.0,15.0,8.0,92.0,57.0,11.0,1.0,56.0,369.0,9.0,91.0
95,2016-12-10,RETURNING,29.0,22.0,1.0,0.0,38.0,25.0,15.0,1.0,126.0,1012.0,12.0,66.0
